"","sample","name","median(value)"
"96",4,"X.Clostridium..sp..MP626E2_ig1",-0.342330757983596
"97",5,"Anaerotruncus.colihominis",3.08488540848721
"98",5,"Bacteroides.sp..MP64F12",-1.23353130148546
"99",5,"Blautia.coccoides",-1.23353130148546
"100",5,"Burkholderiales.bacterium",-1.23353130148546
"101",5,"Citrobacter.werkmanii",-1.23353130148546
"102",5,"Clostridium.clostridioforme.CAG.511",-1.23353130148546
"103",5,"Clostridium.nexile.CAG.348",-1.23353130148546
"104",5,"Clostridium.paraputrificum",-1.23353130148546
"105",5,"Clostridium.sp..MP113D9",-1.23353130148546
"106",5,"Clostridium.sp..MP49A11",-1.23353130148546
"107",5,"Clostridium.sp..MP551E06",-1.23353130148546
"108",5,"Eggerthella.lenta",6.02517983755279
"109",5,"Eggerthella.sp..MP163B1",-1.23353130148546
"110",5,"Lactobacillus.animalis",-1.23353130148546
"111",5,"Megasphaera.sp..MP182G6",-1.23353130148546
"112",5,"Paenibacillus.macerans",-1.23353130148546
"113",5,"Romboutsia.sp..MP35A8",-1.23353130148546
"114",5,"Sellimonas.intestinalis",0.178608162330534
"115",5,"Turicibacter.sp..MP236E3",-1.23353130148546
"116",5,"Veillonella.atypica",-1.23353130148546
"117",5,"Veillonella.dispar",-1.23353130148546
"118",5,"X.Clostridium..citroniae",-1.23353130148546
"119",5,"X.Clostridium..cocleatum",-1.23353130148546
"120",5,"X.Clostridium..sp..MP626E2_ig1",-1.23353130148546
"121",6,"Anaerotruncus.colihominis",-0.618047600308154
"122",6,"Bacteroides.sp..MP64F12",-0.618047600308154
"123",6,"Blautia.coccoides",7.22688996491671
"124",6,"Burkholderiales.bacterium",-0.618047600308154
"125",6,"Citrobacter.werkmanii",-0.618047600308154
"126",6,"Clostridium.clostridioforme.CAG.511",-0.618047600308154
"127",6,"Clostridium.nexile.CAG.348",-0.618047600308154
"128",6,"Clostridium.paraputrificum",-0.618047600308154
"129",6,"Clostridium.sp..MP113D9",-0.618047600308154
"130",6,"Clostridium.sp..MP49A11",-0.618047600308154
"131",6,"Clostridium.sp..MP551E06",-0.618047600308154
"132",6,"Eggerthella.lenta",6.35149230470641
"133",6,"Eggerthella.sp..MP163B1",-0.618047600308154
"134",6,"Lactobacillus.animalis",-0.618047600308154
"135",6,"Megasphaera.sp..MP182G6",-0.618047600308154
"136",6,"Paenibacillus.macerans",-0.618047600308154
"137",6,"Romboutsia.sp..MP35A8",-0.618047600308154
"138",6,"Sellimonas.intestinalis",9.04528253880779
"139",6,"Turicibacter.sp..MP236E3",-0.618047600308154
"140",6,"Veillonella.atypica",-0.618047600308154
"141",6,"Veillonella.dispar",-0.618047600308154
"142",6,"X.Clostridium..citroniae",9.06471947408444
"143",6,"X.Clostridium..cocleatum",7.05669890631108
"144",6,"X.Clostridium..sp..MP626E2_ig1",7.26365713749568
"145",7,"Anaerotruncus.colihominis",-0.30069242611146
"146",7,"Bacteroides.sp..MP64F12",-0.30069242611146
"147",7,"Blautia.coccoides",-0.30069242611146
"148",7,"Burkholderiales.bacterium",-0.30069242611146
"149",7,"Citrobacter.werkmanii",-0.30069242611146
"150",7,"Clostridium.clostridioforme.CAG.511",-0.30069242611146
"151",7,"Clostridium.nexile.CAG.348",-0.30069242611146
"152",7,"Clostridium.paraputrificum",-0.30069242611146
"153",7,"Clostridium.sp..MP113D9",-0.30069242611146
"154",7,"Clostridium.sp..MP49A11",-0.30069242611146
"155",7,"Clostridium.sp..MP551E06",-0.30069242611146
"156",7,"Eggerthella.lenta",-0.30069242611146
"157",7,"Eggerthella.sp..MP163B1",-0.30069242611146
"158",7,"Lactobacillus.animalis",-0.30069242611146
"159",7,"Megasphaera.sp..MP182G6",-0.30069242611146
"160",7,"Paenibacillus.macerans",-0.30069242611146
"161",7,"Romboutsia.sp..MP35A8",-0.30069242611146
"162",7,"Sellimonas.intestinalis",-0.30069242611146
"163",7,"Turicibacter.sp..MP236E3",-0.30069242611146
"164",7,"Veillonella.atypica",9.36669520030861
"165",7,"Veillonella.dispar",-0.30069242611146
"166",7,"X.Clostridium..citroniae",-0.30069242611146
"167",7,"X.Clostridium..cocleatum",-0.30069242611146
"168",7,"X.Clostridium..sp..MP626E2_ig1",-0.30069242611146
"169",8,"Anaerotruncus.colihominis",-0.245892885395314
"170",8,"Bacteroides.sp..MP64F12",-0.245892885395314
"171",8,"Blautia.coccoides",-0.245892885395314
"172",8,"Burkholderiales.bacterium",-0.245892885395314
"173",8,"Citrobacter.werkmanii",-0.245892885395314
"174",8,"Clostridium.clostridioforme.CAG.511",-0.245892885395314
"175",8,"Clostridium.nexile.CAG.348",-0.245892885395314
"176",8,"Clostridium.paraputrificum",-0.245892885395314
"177",8,"Clostridium.sp..MP113D9",-0.245892885395314
"178",8,"Clostridium.sp..MP49A11",-0.245892885395314
"179",8,"Clostridium.sp..MP551E06",-0.245892885395314
"180",8,"Eggerthella.lenta",-0.245892885395314
"181",8,"Eggerthella.sp..MP163B1",-0.245892885395314
"182",8,"Lactobacillus.animalis",-0.245892885395314
"183",8,"Megasphaera.sp..MP182G6",-0.245892885395314
"184",8,"Paenibacillus.macerans",-0.245892885395314
"185",8,"Romboutsia.sp..MP35A8",-0.245892885395314
"186",8,"Sellimonas.intestinalis",-0.245892885395314
"187",8,"Turicibacter.sp..MP236E3",-0.245892885395314
"188",8,"Veillonella.atypica",10.2357682188906
"189",8,"Veillonella.dispar",7.46514331938818
"190",8,"X.Clostridium..citroniae",-0.245892885395314
"191",8,"X.Clostridium..cocleatum",-0.245892885395314
"192",8,"X.Clostridium..sp..MP626E2_ig1",-0.245892885395314
"193",9,"Anaerotruncus.colihominis",-0.662962362972539
"194",9,"Bacteroides.sp..MP64F12",-0.662962362972539
"195",9,"Blautia.coccoides",-0.662962362972539
"196",9,"Burkholderiales.bacterium",-0.662962362972539
"197",9,"Citrobacter.werkmanii",-0.662962362972539
"198",9,"Clostridium.clostridioforme.CAG.511",-0.662962362972539
"199",9,"Clostridium.nexile.CAG.348",-0.662962362972539
"200",9,"Clostridium.paraputrificum",-0.662962362972539
"201",9,"Clostridium.sp..MP113D9",-0.662962362972539
"202",9,"Clostridium.sp..MP49A11",-0.662962362972539
