"","species","shp_res_pos","shp_feat_pos","cor","p","abs(shp_res_pos/shp_feat_pos)"
"454","Absiella.sp..MP558F11",237,362,0.394100083876454,7.29795249387333e-13,0.654696132596685
"455","Flavonifractor.sp..An100",360,346,0.70520423230925,6.59044852455036e-54,1.04046242774566
"456","Romboutsia.sp..MP35A8",357,355,0.805724233069523,2.09123113765695e-82,1.0056338028169
"457","Turicibacter.sp..MP255B7a",196,353,0.233701515084144,0.000387241117894466,0.555240793201133
"458","Paenibacillus.macerans",350,353,0.893027856688343,5.7399069227174e-126,0.991501416430595
"459","Sutterellaceae.bacterium.UBA7100",352,351,0.832729174119783,4.32015907785883e-93,1.002849002849
"460","Bacillus.thermoamylovorans",287,363,0.33639797268435,5.11255463071851e-09,0.790633608815427
"461","Oscillibacter.sp..CAG.155",356,356,0.869851308577191,2.14112926923842e-111,1
"462","Bacteroides.acidifaciens",284,354,0.266480361399694,1.91385890410257e-05,0.80225988700565
"463","Fusobacterium.mortiferum",362,362,0.561901279415223,1.65416083500048e-29,1
"464","Dielma.fastidiosa",69,349,0.319368294901176,4.82417113528272e-08,0.197707736389685
"465","Methanobrevibacter.woesei",171,363,0.47435791515564,1.13902709493888e-19,0.471074380165289
"466","Proteus.cibarius",191,360,0.299394146257601,5.48102078885327e-07,0.530555555555556
"467","Shigella.sp..SF.2015",330,351,0.622394568433239,3.04199576555635e-38,0.94017094017094
"468","Bacteroides.sp..MP64F12",362,362,0.811283431505371,1.836733670494e-84,1
