"","sample","name","median(value)"
"94",6,"Lachnospiraceae.bacterium.CAG.364",-0.618047600308154
"95",6,"Lactobacillus.paracasei",-0.618047600308154
"96",6,"Prevotella.buccae",-0.618047600308154
"97",6,"Providencia.alcalifaciens",-0.618047600308154
"98",6,"Roseburia.intestinalis",10.6329830024176
"99",6,"Streptococcus.infantis",7.75088349063263
"100",6,"Streptococcus.sp..MP111F6_2",-0.618047600308154
"101",6,"X.Clostridium..aldenense",-0.618047600308154
"102",6,"X.Ruminococcus..sp..MP14G5",-0.618047600308154
"103",7,"Actinomyces.sp..HMSC035G02",5.3837265151429
"104",7,"Actinomyces.sp..ICM39",-0.30069242611146
"105",7,"Anaerostipes.sp..992a",-0.30069242611146
"106",7,"Bacteroides.ovatus",-0.30069242611146
"107",7,"Enterobacter.cloacae",-0.30069242611146
"108",7,"Erysipelatoclostridium.sp..MP95D5",-0.30069242611146
"109",7,"Intestinibacter.sp..MP113D11",-0.30069242611146
"110",7,"Klebsiella.oxytoca",8.78286747543484
"111",7,"Lachnospiraceae.bacterium.CAG.364",-0.30069242611146
"112",7,"Lactobacillus.paracasei",9.47209750412664
"113",7,"Prevotella.buccae",-0.30069242611146
"114",7,"Providencia.alcalifaciens",-0.30069242611146
"115",7,"Roseburia.intestinalis",-0.30069242611146
"116",7,"Streptococcus.infantis",-0.30069242611146
"117",7,"Streptococcus.sp..MP111F6_2",-0.30069242611146
"118",7,"X.Clostridium..aldenense",-0.30069242611146
"119",7,"X.Ruminococcus..sp..MP14G5",-0.30069242611146
"120",8,"Actinomyces.sp..HMSC035G02",-0.245892885395314
"121",8,"Actinomyces.sp..ICM39",-0.245892885395314
"122",8,"Anaerostipes.sp..992a",-0.245892885395314
"123",8,"Bacteroides.ovatus",-0.245892885395314
"124",8,"Enterobacter.cloacae",-0.245892885395314
"125",8,"Erysipelatoclostridium.sp..MP95D5",-0.245892885395314
"126",8,"Intestinibacter.sp..MP113D11",-0.245892885395314
"127",8,"Klebsiella.oxytoca",-0.245892885395314
"128",8,"Lachnospiraceae.bacterium.CAG.364",-0.245892885395314
"129",8,"Lactobacillus.paracasei",-0.245892885395314
"130",8,"Prevotella.buccae",-0.245892885395314
"131",8,"Providencia.alcalifaciens",-0.245892885395314
"132",8,"Roseburia.intestinalis",-0.245892885395314
"133",8,"Streptococcus.infantis",-0.245892885395314
"134",8,"Streptococcus.sp..MP111F6_2",8.86452308555495
"135",8,"X.Clostridium..aldenense",-0.245892885395314
"136",8,"X.Ruminococcus..sp..MP14G5",-0.245892885395314
"137",9,"Actinomyces.sp..HMSC035G02",-0.662962362972539
"138",9,"Actinomyces.sp..ICM39",-0.662962362972539
"139",9,"Anaerostipes.sp..992a",-0.662962362972539
"140",9,"Bacteroides.ovatus",8.06106059918279
"141",9,"Enterobacter.cloacae",-0.662962362972539
"142",9,"Erysipelatoclostridium.sp..MP95D5",-0.662962362972539
"143",9,"Intestinibacter.sp..MP113D11",-0.662962362972539
"144",9,"Klebsiella.oxytoca",6.92267059819593
"145",9,"Lachnospiraceae.bacterium.CAG.364",-0.662962362972539
"146",9,"Lactobacillus.paracasei",-0.662962362972539
"147",9,"Prevotella.buccae",-0.662962362972539
"148",9,"Providencia.alcalifaciens",-0.662962362972539
"149",9,"Roseburia.intestinalis",4.31773384022503
"150",9,"Streptococcus.infantis",-0.662962362972539
"151",9,"Streptococcus.sp..MP111F6_2",-0.662962362972539
"152",9,"X.Clostridium..aldenense",5.68754731659176
"153",9,"X.Ruminococcus..sp..MP14G5",-0.662962362972539
"154",10,"Actinomyces.sp..HMSC035G02",-0.842811511805918
"155",10,"Actinomyces.sp..ICM39",5.32393033211775
"156",10,"Anaerostipes.sp..992a",-0.842811511805918
"157",10,"Bacteroides.ovatus",-0.842811511805918
"158",10,"Enterobacter.cloacae",-0.842811511805918
"159",10,"Erysipelatoclostridium.sp..MP95D5",-0.842811511805918
"160",10,"Intestinibacter.sp..MP113D11",8.02090958661489
"161",10,"Klebsiella.oxytoca",-0.842811511805918
"162",10,"Lachnospiraceae.bacterium.CAG.364",-0.842811511805918
"163",10,"Lactobacillus.paracasei",-0.842811511805918
"164",10,"Prevotella.buccae",4.27068679237788
"165",10,"Providencia.alcalifaciens",-0.842811511805918
"166",10,"Roseburia.intestinalis",8.25823813997921
"167",10,"Streptococcus.infantis",4.54464361067938
"168",10,"Streptococcus.sp..MP111F6_2",-0.842811511805918
"169",10,"X.Clostridium..aldenense",-0.842811511805918
"170",10,"X.Ruminococcus..sp..MP14G5",-0.842811511805918
"171",11,"Actinomyces.sp..HMSC035G02",-0.604689025018732
"172",11,"Actinomyces.sp..ICM39",-0.604689025018732
"173",11,"Anaerostipes.sp..992a",-0.604689025018732
"174",11,"Bacteroides.ovatus",-0.604689025018732
"175",11,"Enterobacter.cloacae",6.38972270771506
"176",11,"Erysipelatoclostridium.sp..MP95D5",-0.604689025018732
"177",11,"Intestinibacter.sp..MP113D11",-0.604689025018732
"178",11,"Klebsiella.oxytoca",7.73163626631819
"179",11,"Lachnospiraceae.bacterium.CAG.364",-0.604689025018732
"180",11,"Lactobacillus.paracasei",-0.604689025018732
"181",11,"Prevotella.buccae",-0.604689025018732
"182",11,"Providencia.alcalifaciens",-0.604689025018732
"183",11,"Roseburia.intestinalis",10.6221603731489
"184",11,"Streptococcus.infantis",8.14752869718589
"185",11,"Streptococcus.sp..MP111F6_2",-0.604689025018732
"186",11,"X.Clostridium..aldenense",-0.604689025018732
"187",11,"X.Ruminococcus..sp..MP14G5",-0.604689025018732
"188",12,"Actinomyces.sp..HMSC035G02",-0.474653693444335
"189",12,"Actinomyces.sp..ICM39",-0.474653693444335
"190",12,"Anaerostipes.sp..992a",-0.474653693444335
"191",12,"Bacteroides.ovatus",-0.474653693444335
"192",12,"Enterobacter.cloacae",-0.474653693444335
"193",12,"Erysipelatoclostridium.sp..MP95D5",6.91863420842975
"194",12,"Intestinibacter.sp..MP113D11",-0.474653693444335
"195",12,"Klebsiella.oxytoca",-0.474653693444335
"196",12,"Lachnospiraceae.bacterium.CAG.364",-0.474653693444335
"197",12,"Lactobacillus.paracasei",-0.474653693444335
"198",12,"Prevotella.buccae",-0.474653693444335
"199",12,"Providencia.alcalifaciens",-0.474653693444335
"200",12,"Roseburia.intestinalis",-0.474653693444335
"201",12,"Streptococcus.infantis",-0.474653693444335
"202",12,"Streptococcus.sp..MP111F6_2",7.98542533509407
"203",12,"X.Clostridium..aldenense",-0.474653693444335
"204",12,"X.Ruminococcus..sp..MP14G5",-0.474653693444335
"205",13,"Actinomyces.sp..HMSC035G02",-0.302502783425869
"206",13,"Actinomyces.sp..ICM39",-0.302502783425869
"207",13,"Anaerostipes.sp..992a",-0.302502783425869
"208",13,"Bacteroides.ovatus",-0.302502783425869
"209",13,"Enterobacter.cloacae",4.22985117029118
"210",13,"Erysipelatoclostridium.sp..MP95D5",-0.302502783425869
"211",13,"Intestinibacter.sp..MP113D11",-0.302502783425869
"212",13,"Klebsiella.oxytoca",-0.302502783425869
"213",13,"Lachnospiraceae.bacterium.CAG.364",-0.302502783425869
"214",13,"Lactobacillus.paracasei",5.34974051654271
"215",13,"Prevotella.buccae",-0.302502783425869
"216",13,"Providencia.alcalifaciens",-0.302502783425869
"217",13,"Roseburia.intestinalis",-0.302502783425869
"218",13,"Streptococcus.infantis",-0.302502783425869
"219",13,"Streptococcus.sp..MP111F6_2",-0.302502783425869
"220",13,"X.Clostridium..aldenense",-0.302502783425869
"221",13,"X.Ruminococcus..sp..MP14G5",-0.302502783425869
"222",14,"Actinomyces.sp..HMSC035G02",-0.426008636473167
"223",14,"Actinomyces.sp..ICM39",5.51955468800421
"224",14,"Anaerostipes.sp..992a",-0.426008636473167
"225",14,"Bacteroides.ovatus",-0.426008636473167
"226",14,"Enterobacter.cloacae",-0.426008636473167
"227",14,"Erysipelatoclostridium.sp..MP95D5",-0.426008636473167
"228",14,"Intestinibacter.sp..MP113D11",-0.426008636473167
"229",14,"Klebsiella.oxytoca",7.0380907912572
"230",14,"Lachnospiraceae.bacterium.CAG.364",-0.426008636473167
"231",14,"Lactobacillus.paracasei",-0.426008636473167
"232",14,"Prevotella.buccae",-0.426008636473167
"233",14,"Providencia.alcalifaciens",-0.426008636473167
"234",14,"Roseburia.intestinalis",-0.426008636473167
"235",14,"Streptococcus.infantis",-0.426008636473167
"236",14,"Streptococcus.sp..MP111F6_2",-0.426008636473167
"237",14,"X.Clostridium..aldenense",-0.426008636473167
"238",14,"X.Ruminococcus..sp..MP14G5",-0.426008636473167
"239",15,"Actinomyces.sp..HMSC035G02",-0.300167153109866
"240",15,"Actinomyces.sp..ICM39",-0.300167153109866
"241",15,"Anaerostipes.sp..992a",-0.300167153109866
"242",15,"Bacteroides.ovatus",-0.300167153109866
"243",15,"Enterobacter.cloacae",-0.300167153109866
"244",15,"Erysipelatoclostridium.sp..MP95D5",8.2385615010455
"245",15,"Intestinibacter.sp..MP113D11",-0.300167153109866
"246",15,"Klebsiella.oxytoca",7.29493635599376
"247",15,"Lachnospiraceae.bacterium.CAG.364",-0.300167153109866
"248",15,"Lactobacillus.paracasei",4.44248958915457
"249",15,"Prevotella.buccae",-0.300167153109866
"250",15,"Providencia.alcalifaciens",-0.300167153109866
"251",15,"Roseburia.intestinalis",-0.300167153109866
"252",15,"Streptococcus.infantis",-0.300167153109866
"253",15,"Streptococcus.sp..MP111F6_2",7.6337009269376
"254",15,"X.Clostridium..aldenense",5.75514104229659
"255",15,"X.Ruminococcus..sp..MP14G5",-0.300167153109866
"256",16,"Actinomyces.sp..HMSC035G02",-0.653889904510075
"257",16,"Actinomyces.sp..ICM39",-0.653889904510075
"258",16,"Anaerostipes.sp..992a",-0.653889904510075
"259",16,"Bacteroides.ovatus",-0.653889904510075
"260",16,"Enterobacter.cloacae",-0.653889904510075
"261",16,"Erysipelatoclostridium.sp..MP95D5",-0.653889904510075
"262",16,"Intestinibacter.sp..MP113D11",10.4327520828709
"263",16,"Klebsiella.oxytoca",-0.653889904510075
"264",16,"Lachnospiraceae.bacterium.CAG.364",8.57469889727765
"265",16,"Lactobacillus.paracasei",-0.653889904510075
"266",16,"Prevotella.buccae",-0.653889904510075
"267",16,"Providencia.alcalifaciens",-0.653889904510075
"268",16,"Roseburia.intestinalis",9.12756143822649
"269",16,"Streptococcus.infantis",-0.653889904510075
"270",16,"Streptococcus.sp..MP111F6_2",-0.653889904510075
"271",16,"X.Clostridium..aldenense",7.00978234096804
"272",16,"X.Ruminococcus..sp..MP14G5",-0.653889904510075
"273",17,"Actinomyces.sp..HMSC035G02",-0.419235802357385
"274",17,"Actinomyces.sp..ICM39",-0.419235802357385
"275",17,"Anaerostipes.sp..992a",-0.419235802357385
"276",17,"Bacteroides.ovatus",-0.419235802357385
"277",17,"Enterobacter.cloacae",-0.419235802357385
"278",17,"Erysipelatoclostridium.sp..MP95D5",-0.419235802357385
"279",17,"Intestinibacter.sp..MP113D11",-0.419235802357385
"280",17,"Klebsiella.oxytoca",7.64687583175125
"281",17,"Lachnospiraceae.bacterium.CAG.364",-0.419235802357385
"282",17,"Lactobacillus.paracasei",-0.419235802357385
"283",17,"Prevotella.buccae",-0.419235802357385
"284",17,"Providencia.alcalifaciens",-0.419235802357385
"285",17,"Roseburia.intestinalis",-0.419235802357385
"286",17,"Streptococcus.infantis",-0.419235802357385
"287",17,"Streptococcus.sp..MP111F6_2",-0.419235802357385
"288",17,"X.Clostridium..aldenense",-0.419235802357385
"289",17,"X.Ruminococcus..sp..MP14G5",-0.419235802357385
"290",18,"Actinomyces.sp..HMSC035G02",-0.220839631732471
"291",18,"Actinomyces.sp..ICM39",-0.220839631732471
"292",18,"Anaerostipes.sp..992a",-0.220839631732471
"293",18,"Bacteroides.ovatus",-0.220839631732471
"294",18,"Enterobacter.cloacae",4.36367685385052
"295",18,"Erysipelatoclostridium.sp..MP95D5",-0.220839631732471
"296",18,"Intestinibacter.sp..MP113D11",-0.220839631732471
"297",18,"Klebsiella.oxytoca",12.6317192818442
"298",18,"Lachnospiraceae.bacterium.CAG.364",-0.220839631732471
"299",18,"Lactobacillus.paracasei",-0.220839631732471
"300",18,"Prevotella.buccae",-0.220839631732471
"301",18,"Providencia.alcalifaciens",-0.220839631732471
"302",18,"Roseburia.intestinalis",-0.220839631732471
"303",18,"Streptococcus.infantis",-0.220839631732471
"304",18,"Streptococcus.sp..MP111F6_2",-0.220839631732471
"305",18,"X.Clostridium..aldenense",-0.220839631732471
"306",18,"X.Ruminococcus..sp..MP14G5",-0.220839631732471
"307",19,"Actinomyces.sp..HMSC035G02",-0.412107372410649
"308",19,"Actinomyces.sp..ICM39",-0.412107372410649
"309",19,"Anaerostipes.sp..992a",-0.412107372410649
"310",19,"Bacteroides.ovatus",-0.412107372410649
"311",19,"Enterobacter.cloacae",8.43686606513196
"312",19,"Erysipelatoclostridium.sp..MP95D5",8.01758438587742
"313",19,"Intestinibacter.sp..MP113D11",-0.412107372410649
"314",19,"Klebsiella.oxytoca",7.73475813024455
"315",19,"Lachnospiraceae.bacterium.CAG.364",-0.412107372410649
"316",19,"Lactobacillus.paracasei",5.07628822885266
"317",19,"Prevotella.buccae",-0.412107372410649
"318",19,"Providencia.alcalifaciens",-0.412107372410649
"319",19,"Roseburia.intestinalis",-0.412107372410649
"320",19,"Streptococcus.infantis",-0.412107372410649
"321",19,"Streptococcus.sp..MP111F6_2",-0.412107372410649
"322",19,"X.Clostridium..aldenense",6.53201006316367
"323",19,"X.Ruminococcus..sp..MP14G5",-0.412107372410649
"324",20,"Actinomyces.sp..HMSC035G02",-0.375043970034222
"325",20,"Actinomyces.sp..ICM39",-0.375043970034222
"326",20,"Anaerostipes.sp..992a",-0.375043970034222
"327",20,"Bacteroides.ovatus",-0.375043970034222
"328",20,"Enterobacter.cloacae",-0.375043970034222
"329",20,"Erysipelatoclostridium.sp..MP95D5",9.58105609664273
"330",20,"Intestinibacter.sp..MP113D11",-0.375043970034222
"331",20,"Klebsiella.oxytoca",6.8436260849526
"332",20,"Lachnospiraceae.bacterium.CAG.364",-0.375043970034222
"333",20,"Lactobacillus.paracasei",-0.375043970034222
"334",20,"Prevotella.buccae",-0.375043970034222
"335",20,"Providencia.alcalifaciens",-0.375043970034222
"336",20,"Roseburia.intestinalis",-0.375043970034222
"337",20,"Streptococcus.infantis",-0.375043970034222
"338",20,"Streptococcus.sp..MP111F6_2",-0.375043970034222
"339",20,"X.Clostridium..aldenense",9.23180797673097
"340",20,"X.Ruminococcus..sp..MP14G5",-0.375043970034222
"341",21,"Actinomyces.sp..HMSC035G02",-0.189404824767999
"342",21,"Actinomyces.sp..ICM39",-0.189404824767999
"343",21,"Anaerostipes.sp..992a",-0.189404824767999
"344",21,"Bacteroides.ovatus",-0.189404824767999
"345",21,"Enterobacter.cloacae",-0.189404824767999
"346",21,"Erysipelatoclostridium.sp..MP95D5",-0.189404824767999
"347",21,"Intestinibacter.sp..MP113D11",-0.189404824767999
"348",21,"Klebsiella.oxytoca",-0.189404824767999
"349",21,"Lachnospiraceae.bacterium.CAG.364",-0.189404824767999
"350",21,"Lactobacillus.paracasei",-0.189404824767999
"351",21,"Prevotella.buccae",-0.189404824767999
"352",21,"Providencia.alcalifaciens",-0.189404824767999
"353",21,"Roseburia.intestinalis",-0.189404824767999
"354",21,"Streptococcus.infantis",-0.189404824767999
"355",21,"Streptococcus.sp..MP111F6_2",-0.189404824767999
"356",21,"X.Clostridium..aldenense",-0.189404824767999
"357",21,"X.Ruminococcus..sp..MP14G5",-0.189404824767999
"358",22,"Actinomyces.sp..HMSC035G02",-0.249130692149002
"359",22,"Actinomyces.sp..ICM39",-0.249130692149002
"360",22,"Anaerostipes.sp..992a",-0.249130692149002
"361",22,"Bacteroides.ovatus",-0.249130692149002
"362",22,"Enterobacter.cloacae",5.41220313405254
"363",22,"Erysipelatoclostridium.sp..MP95D5",-0.249130692149002
"364",22,"Intestinibacter.sp..MP113D11",-0.249130692149002
"365",22,"Klebsiella.oxytoca",7.58615440259189
"366",22,"Lachnospiraceae.bacterium.CAG.364",-0.249130692149002
"367",22,"Lactobacillus.paracasei",-0.249130692149002
"368",22,"Prevotella.buccae",-0.249130692149002
"369",22,"Providencia.alcalifaciens",-0.249130692149002
"370",22,"Roseburia.intestinalis",-0.249130692149002
"371",22,"Streptococcus.infantis",-0.249130692149002
"372",22,"Streptococcus.sp..MP111F6_2",-0.249130692149002
"373",22,"X.Clostridium..aldenense",-0.249130692149002
"374",22,"X.Ruminococcus..sp..MP14G5",-0.249130692149002
"375",23,"Actinomyces.sp..HMSC035G02",-0.634655947444278
"376",23,"Actinomyces.sp..ICM39",-0.634655947444278
"377",23,"Anaerostipes.sp..992a",-0.634655947444278
"378",23,"Bacteroides.ovatus",-0.634655947444278
"379",23,"Enterobacter.cloacae",2.07480830645102
"380",23,"Erysipelatoclostridium.sp..MP95D5",-0.634655947444278
"381",23,"Intestinibacter.sp..MP113D11",-0.634655947444278
