Time,Treatments,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24,M25,M26,M27,M28,M29,M30,M31,M32,M33,M34,M35,M36,M37,M38,M39,M40,Replicates,Experiments
0.0,S1-S2-S4-S6-S8-S10-S11-S12-S13-S14-S15_985772,0.0020698821,0.0032042468,0.0,0.0005506981,0.0,0.002644737,0.0,0.0037390636,0.0,0.0026373442,0.0014552317,0.0016755596,9.3120536e-05,0.00070430926,0.0012258063,0.0,0.0,0.0,1.0166167,1.3650621,0.0,0.6173817,0.0,0.0,2.2106316,1.2656187,0.0,3.229906,0.0,3.432963,2.1933744,0.0,0.0,1.6001819,2.1294465,0.0,2.263566,3.5601242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30229864,3.7858756,0.0,1.2282778,0.0,0.0,2.0847526,0,0
3.4285715,S1-S2-S4-S6-S8-S10-S11-S12-S13-S14-S15_985772,0.0029851287,0.004438292,0.0,0.0,0.0,0.0048755473,0.0,0.0033654794,0.0,0.0014822024,0.0012792933,0.0018458281,0.0,0.00027321916,0.00078678445,0.0008098166,0.0002517704,0.0,1.1530257,1.479937,0.0,0.4293042,0.0,0.0,2.162839,0.7052014,0.00047206416,3.1134887,0.0006373528,5.012224,2.2167592,0.0,0.0013362714,1.7936643,2.1294684,0.0,2.4897099,3.3812556,0.0,0.0,0.0,0.0018163129,0.0010368729,0.00030061862,0.0,0.00044356522,0.00024973985,0.0,0.2586659,5.2720475,0.0040416457,1.3417096,0.0,0.0006763572,1.8896437,0,0
6.857143,S1-S2-S4-S6-S8-S10-S11-S12-S13-S14-S15_985772,0.002190917,0.0028873677,0.0,0.0031201094,0.0,0.004234492,0.0,0.0047731637,0.0,0.0018078317,0.0023667885,0.0023736248,0.0,0.0009287173,0.00091772416,0.0003860793,0.0,0.0006997937,0.96977395,1.3121368,0.0007696079,0.99538803,0.00076046464,0.0014257324,1.3242071,1.7729751,0.0,3.6705701,0.0002784398,3.9876885,2.2082467,0.0,0.0,1.9596566,2.5847588,0.0,2.5029075,2.4850936,0.0021221505,0.0,0.0011937359,0.0,0.00013008263,0.0,0.0,0.00052667724,0.0,0.0005471731,0.42307907,3.307158,0.006189548,1.3007842,0.001213074,0.0017266165,2.5239787,0,0
10.285714,S1-S2-S4-S6-S8-S10-S11-S12-S13-S14-S15_985772,0.0024438712,0.0020519574,0.0,0.0039156284,0.0,0.0014965103,0.0,0.003926464,0.0,0.0023231092,0.0,0.0021532776,0.0,0.0,0.0,0.0,0.0,0.0005253853,0.6647797,1.138622,0.00088707317,0.86898625,0.0,0.002264615,2.4445179,0.82647276,0.0,3.6897576,0.0001874723,4.111859,2.1310432,0.00044350565,0.0010788565,1.5354435,2.4427404,0.0,1.3997993,5.289613,0.0005092514,0.0015168014,0.0,0.0,0.0009679041,0.00080738106,0.0,0.0,0.00011618205,0.0,0.28372967,4.1021047,0.012741549,1.6291192,0.0025988217,0.004887233,2.9755368,0,0
13.714286,S1-S2-S4-S6-S8-S10-S11-S12-S13-S14-S15_985772,0.0027001458,0.0017375022,0.0,0.0016730955,0.0,0.0052139536,0.0,0.004685049,0.0,0.0022245466,0.00026513604,0.0033305036,0.00040215158,0.0,0.0019346778,0.0019480643,0.0,0.0,0.6071366,1.3950334,0.0,0.5354042,0.001657848,0.0,3.2483723,0.37638226,0.0,2.952274,0.0038060946,2.9369211,2.7079165,0.0013295768,0.0009939295,2.056001,1.9687254,0.0,2.46413,2.8908057,0.0,0.0008682533,0.0,0.001008497,0.0,0.0009973252,0.0018910279,0.00065142754,0.0,0.0,0.24253452,3.7049906,0.015238731,1.0849432,0.002226532,0.0099972375,1.5717726,0,0
17.142857,S1-S2-S4-S6-S8-S10-S11-S12-S13-S14-S15_985772,0.0030065826,0.0041087596,0.0,0.0014744832,0.0,0.001967614,0.0,0.002038138,0.0,0.0,0.002671709,0.0062739244,0.00013608317,0.00015529113,0.00031349968,0.0,0.001418653,0.0004394529,1.5311443,1.0998571,0.00038226607,0.6941609,0.0,0.0,2.4221911,1.2938951,0.00082242093,1.3655409,0.006377303,4.7143884,2.4102259,0.0,0.0,0.74115884,1.5782868,0.0012822134,2.0087507,3.5848854,0.0,0.0,0.0,0.0,0.0,0.0009861359,0.0,0.0010375597,0.0,0.0021300903,0.28510368,5.203117,0.029211711,2.0035715,0.005102358,0.011063218,2.2832692,0,0
20.571428,S1-S2-S4-S6-S8-S10-S11-S12-S13-S14-S15_985772,0.0010628151,0.0037102392,0.0,0.0047776443,0.0,0.0020779152,0.0,0.0046272855,0.0,0.001088612,0.0028093858,0.005908938,0.0,0.0033459538,0.0006784361,0.0021289904,0.0,0.002410214,1.2672578,1.4765159,0.0012368803,0.23191185,0.00054711767,0.0005672073,2.4055853,1.7337544,0.0,3.7490287,0.0062183817,2.6579163,1.8694127,0.00020478456,0.002387732,1.9889752,2.7003498,0.0,1.3675725,0.950141,0.00119068,0.0002701124,0.0,0.0,0.000518825,0.0,0.0,0.0,0.0,0.0023257064,0.37796015,2.4631393,0.036179766,1.3869076,0.0040200492,0.013795931,2.025881,0,0
24.0,S1-S2-S4-S6-S8-S10-S11-S12-S13-S14-S15_985772,0.0009110809,0.0023669584,0.0,0.010072181,0.0,0.0047627115,0.0,0.0024228294,0.0,0.0031550298,0.00086170674,0.009693423,0.0011310729,0.0,0.0,0.0,0.0011444744,0.0,1.4345323,1.288032,0.0,0.8532185,6.853766e-05,0.0,2.212655,1.0795302,0.0007909048,4.390914,0.008141524,3.7181923,2.3317103,0.0,0.0,2.6500723,2.1793497,0.0,2.4667523,1.5377997,0.0009368567,0.0,0.00013711542,0.0,0.0006597957,0.0011607399,0.0,0.0,0.00038237497,0.0015717035,0.40225664,3.7946389,0.035382062,1.0523477,0.0062617958,0.015132568,1.4275798,0,0
0.0,S1-S2-S3-S6-S10-S13-S14-S15_305711,0.0027937363,0.0037589534,0.0043103704,0.0,0.0,0.0036724291,0.0,0.0,0.0,0.0022597243,0.0,0.0,0.00019485193,0.0009980036,0.0020119303,0.581921,1.5674294,1.1608802,2.6135483,3.1609614,2.9239864,2.393468,0.50435555,3.1770258,3.5033915,2.159408,2.7842543,0.0,1.3868335,1.9682041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5171932,3.5056095,2.9439752,2.7928717,3.692719,0.0,2.2899868,3.8202274,2.1658895,1.7563096,4.0225267,0.0,0.563331,0.0,0.0,0,1
3.4285715,S1-S2-S3-S6-S10-S13-S14-S15_305711,0.0040051052,0.0036638433,0.005523189,0.0,0.0,0.0032287354,0.0,0.0,0.0,0.8848243,0.0,0.0,0.0,0.0025563757,0.0024082733,0.6036681,0.80174834,0.9259054,1.9029726,3.2734427,2.6615152,1.721246,0.36076754,3.673821,3.5001485,2.3999124,3.742962,0.0021548124,1.3679621,2.983984,0.0,0.0,0.0035992223,0.00018108207,0.0,0.00068757526,0.001987958,0.00040178234,0.0,0.016740024,1.6726317,1.6448188,0.0,1.7556647,2.6475205,0.19077025,2.5268884,4.6539736,0.37899977,1.9509102,4.7210045,0.96439594,0.4581808,0.0,0.0,0,1
